
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 06:15:42 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 06:15:50 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 06:15:59 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 06:16:01 | de = PORTARIA
[OFFLINE] 192.168.0.45 caiu em 27/08/2025 06:27:12 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 27/08/2025 06:27:32 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 27/08/2025 06:27:46 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 27/08/2025 06:28:08 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 27/08/2025 11:21:01 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 27/08/2025 11:21:04 | de = PORTARIA
[OFFLINE] 192.168.0.45 caiu em 27/08/2025 18:07:13 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 27/08/2025 18:08:20 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.120 voltou em 27/08/2025 10:58:21 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 10:58:32 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 10:58:42 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 10:58:48 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 10:58:56 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 10:59:02 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 10:59:12 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 10:59:17 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 10:59:22 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:02:19 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:02:32 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:02:37 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:03:15 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:03:17 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:03:25 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:03:35 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:03:43 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:03:52 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:04:05 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:04:09 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:06:31 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:06:33 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:06:43 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:06:48 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:07:17 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:07:19 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:07:29 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:07:31 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:07:37 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:07:39 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:07:49 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:07:51 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:07:56 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:07:58 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:08:04 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:08:06 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:08:11 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:08:16 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:08:26 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:08:28 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:08:34 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:08:36 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:08:41 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:08:43 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:08:49 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:08:51 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:08:56 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:09:01 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:09:07 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:09:09 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:09:19 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:09:21 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:09:26 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:09:31 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:09:37 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:09:39 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:09:44 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:09:46 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:09:52 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:09:54 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:09:59 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:10:01 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:10:07 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:10:09 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:10:14 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:10:16 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:10:22 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:10:24 | de = PORTARIA
